nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0887511	Hilde Van Mieghem	1958		actress,director,writer	tt1506965,tt0330539,tt2516864,tt0161994	https://image.tmdb.org/t/p/{width_variable}/77U2HyU8msuqpqduOac4adPdKd.jpg
nm0888713	Annemarie Vandeputte			writer,assistant_director	tt0473113,tt0096025,tt0212732,tt0086941	
nm0888824	Alexandra Vandernoot	1965		actress,producer	tt0103442,tt0110907,tt0119038,tt0153311	https://image.tmdb.org/t/p/{width_variable}/qfIFGsamsqi8yDsdBY6VNuG6QPG.jpg
nm0889065	Gregory Vanger			producer,director,production_manager	tt15078488,tt8004578,tt12058882,tt2202488	
nm0889066	Jonathan Vanger	1962		producer,miscellaneous,actor	tt1645155,tt10945288,tt1430612,tt10339052	
nm0889250	Nicki Vannice	1975		actress	tt0098780,tt0094477,tt0096035,tt0108761	
nm0889496	Lilyana Varbanova			actress	tt0253980,tt0098542,tt0169640	
nm0889564	Vladimir Vardunas	1957	2010	writer	tt0110719,tt0099038,tt0095167,tt1340043	https://image.tmdb.org/t/p/{width_variable}/4v3vunXRLdWrIVTLvXdThLLSxJn.jpg
nm0889986	Ivan Varimezov	1942		cinematographer,camera_department	tt0462593,tt0106767,tt0098542,tt0300080	
nm0889991	Celian Varini			actor	tt2011349,tt0168305,tt7222552,tt0098488	
nm0890056	Jagannatha Varma	1939	2016	actor	tt0246809,tt0228808,tt0291855,tt0290937	https://image.tmdb.org/t/p/{width_variable}/A5vSyCOSGCmVv7q1GlHZLRy8T8m.jpg
nm0890581	Vladimir Vasilyev	1938		cinematographer,camera_department	tt0093905,tt0169069,tt0192936,tt0086908	
nm0890596	Natalya Vasilyeva	1936	2001	costume_designer,production_designer,art_department	tt0094348,tt0073933,tt0157713,tt0066124	
nm0890864	P. Vasu			director,writer,actor	tt3738624,tt0449869,tt0306645,tt1339248	https://image.tmdb.org/t/p/{width_variable}/riDFi39H2F7rLfBtiRBK7uNTWyd.jpg
nm0891396	Marià Vayreda			writer	tt0098144,tt0450527	
nm0891892	Pastora Vega	1960		actress,soundtrack	tt4136774,tt0109385,tt0108356,tt0104081	https://image.tmdb.org/t/p/{width_variable}/h1AMRj3mQrLorgNEk4ZkLFLyrRy.jpg
nm0893235	Paul C. Venter			writer,director,actor	tt4846200,tt0300785,tt7151674,tt0151131	
nm0893390	Richard Venture	1923	2017	actor,soundtrack	tt0105323,tt0091187,tt0115956,tt0084335	https://image.tmdb.org/t/p/{width_variable}/nbzvaA5m43DRpDhObWp2vX3H9Hg.jpg
nm0893713	Ève Vercel			producer,assistant_director,executive	tt0237959,tt0123013,tt0101217,tt0167644	
nm0893882	Pascal Verdosci			writer,director,assistant_director	tt1039613,tt0806910,tt0111495,tt0369052	
nm0893941	Maribel Verdú	1970		actress,soundtrack	tt0439572,tt0457430,tt0245574,tt1854513	https://image.tmdb.org/t/p/{width_variable}/5ml5J9yDEV6ZLkinkS7vAHfE882.jpg
nm0894061	Monica Verge			actress	tt0095201,tt0100453,tt0300716,tt0382466	
nm0894074	Gérard Vergez	1935		director,writer,actor	tt0272473,tt0085312,tt0272881,tt0088844	
nm0894132	Bertram Verhaag	1944		producer,director,writer	tt1522270,tt0093849,tt0094013,tt0115716	
nm0895059	Franco Verucci			writer	tt0062178,tt0110437,tt0076544,tt0069013	
